Date,Open,High,Low,Close,Volume
2018-06-30,5319.03,5534.12,5319.03,5481.47,3889292326
2018-07-01,5488.04,5506.16,5383.28,5468.25,4100239630
2018-07-02,5463.59,5765.92,5416.34,5682.29,3777431313
2018-07-03,5667.23,5736.84,5531.23,5600.47,4007470418
2018-07-04,5618.72,5817.3,5528.81,5659.25,3582681352
2018-07-05,5661.1,5772.78,5604.53,5678.85,4276144207
2018-07-06,5678.46,5705.36,5578.51,5681.99,3673018251
2018-07-07,5677.91,5844.18,5601.74,5838.17,3372567104
2018-07-08,5838.91,5862.84,5744.92,5764.51,2881635646
2018-07-09,5765.54,5822.14,5721.38,5734.73,3162750868
2018-07-10,5732.57,5754.88,5390.81,5397.76,3455640897
2018-07-11,5398.46,5499.11,5396.36,5477.74,3122203104
2018-07-12,5479.51,5479.31,5261.89,5341.12,3232867529
2018-07-13,5346.45,5403.33,5300.67,5338.51,3256653884
2018-07-14,5346.6,5389.98,5316.41,5371.09,2502071045
2018-07-15,5368.16,5480.07,5354.31,5445.83,2813375551
2018-07-16,5443.58,5758.73,5443.11,5758.73,4036730107
2018-07-17,5756.94,6338.26,5696.9,6283.08,5116675427
2018-07-18,6278.17,6471.14,6253.63,6330.65,5242128469
2018-07-19,6337.03,6436.88,6265.42,6407.12,4386159108
2018-07-20,6407.59,6487.84,6249.58,6275.93,4213065274
2018-07-21,6274.72,6347.19,6197.65,6331.53,3180244001
2018-07-22,6330.26,6428.96,6298.58,6319.52,3148019504
2018-07-23,6316.3,6646.28,6313.14,6595.2,4389736572
2018-07-24,6599.82,7210.71,6590.4,7210.71,6229298858
2018-07-25,7172.52,7204.37,6925.03,6970.6,4980318705
2018-07-26,6966.73,7079.7,6769.81,6828.91,4207394297
2018-07-27,6827.89,7087.55,6731.14,7004.98,4457686973
2018-07-28,7008.46,7054.61,6958.45,7028.27,3422057378
2018-07-29,7040.0,7097.0,6984.54,7049.03,3522763544
2018-07-30,7051.7,7066.07,6760.16,6989.47,4743164730
2018-07-31,6990.09,6987.98,6585.89,6657.35,4524283392
2018-08-01,6647.59,6647.02,6435.94,6538.25,4113891271
2018-08-02,6546.21,6615.29,6472.89,6531.85,3637557186
2018-08-03,6527.53,6529.22,6324.34,6427.24,4000302585
2018-08-04,6430.94,6481.79,6037.93,6080.1,3690144376
2018-08-05,6078.57,6139.48,6000.43,6114.6,3182621107
2018-08-06,6109.81,6198.37,5963.25,6014.71,3396694930
2018-08-07,6020.35,6166.68,5815.44,5821.15,4036548573
2018-08-08,5815.75,5813.74,5360.04,5432.76,4363254932
2018-08-09,5432.55,5752.5,5394.1,5699.61,3702742103
2018-08-10,5702.38,5714.14,5367.68,5420.43,3969044698
2018-08-11,5421.38,5657.97,5354.1,5517.73,3547633655
2018-08-12,5507.14,5639.0,5466.7,5549.63,4972570877
2018-08-13,5566.01,5740.8,5463.55,5524.67,3582752873
2018-08-14,5515.98,5518.64,5234.09,5464.23,4672748105
2018-08-15,5483.36,5809.96,5484.33,5562.58,4316594657
2018-08-16,5549.98,5697.0,5535.24,5571.44,3806877748
2018-08-17,5576.88,5755.44,5564.33,5753.81,4365646586
2018-08-18,5756.26,5785.91,5555.42,5616.65,3483885634
2018-08-19,5615.61,5718.02,5562.25,5688.62,2895138585
2018-08-20,5683.75,5718.09,5482.66,5489.97,3189539640
2018-08-21,5483.48,5619.22,5479.11,5606.81,2918154325
2018-08-22,5604.64,5889.24,5441.63,5504.76,4029791091
2018-08-23,5500.12,5674.88,5501.07,5662.81,2968960139
2018-08-24,5677.23,5782.6,5627.5,5782.6,3526219775
2018-08-25,5782.59,5842.55,5766.25,5819.8,2850529214
2018-08-26,5812.44,5829.75,5697.23,5759.78,2829969944
2018-08-27,5762.82,5893.37,5756.07,5893.37,3440335559
2018-08-28,5898.89,6080.18,5896.45,6068.83,3985239032
2018-08-29,6064.92,6093.28,5961.02,6019.1,3541065938
2018-08-30,6016.19,6043.48,5856.13,5983.22,3826845580
2018-08-31,5979.57,6082.19,5950.78,6067.4,3875894474
2018-09-01,6073.64,6243.89,6067.81,6201.61,3548624881
2018-09-02,6198.45,6299.09,6148.94,6271.75,3733649534
2018-09-03,6277.19,6300.42,6210.71,6252.2,3520289356
2018-09-04,6254.74,6381.29,6251.99,6354.48,3688942598
2018-09-05,6354.3,6370.98,5839.28,5839.28,4986211639
2018-09-06,5806.88,5801.39,5500.45,5619.39,4753825630
2018-09-07,5619.18,5642.84,5499.85,5598.71,3692043979
2018-09-08,5592.74,5656.87,5365.35,5389.99,3320110813
2018-09-09,5387.74,5580.69,5368.56,5451.04,3176650229
2018-09-10,5451.66,5519.46,5444.98,5460.4,3204020014
2018-09-11,5462.28,5517.74,5403.72,5452.6,3320891918
2018-09-12,5448.99,5472.88,5408.87,5464.85,3496713413
2018-09-13,5466.95,5594.43,5463.19,5575.59,3602455300
2018-09-14,5573.97,5632.88,5519.98,5600.89,3505521156
2018-09-15,5598.04,5643.03,5584.41,5627.11,2765995872
2018-09-16,5621.5,5628.08,5555.64,5607.14,2816596404
2018-09-17,5604.46,5623.57,5356.09,5383.27,3351714090
2018-09-18,5383.02,5458.43,5361.26,5456.28,3579763638
2018-09-19,5456.75,5523.31,5319.0,5481.96,3796555860
2018-09-20,5482.22,5544.71,5430.56,5536.33,3692297556
2018-09-21,5531.4,5781.51,5514.21,5728.07,5555414821
2018-09-22,5728.16,5795.78,5627.59,5717.04,3835465727
2018-09-23,5711.38,5748.89,5685.9,5712.16,3572958259
2018-09-24,5707.17,5719.05,5600.08,5611.99,3554447900
2018-09-25,5619.0,5618.53,5423.77,5479.01,4016893838
2018-09-26,5484.38,5604.05,5436.91,5527.28,3776169001
2018-09-27,5527.53,5766.65,5520.85,5738.59,3959497896
2018-09-28,5740.31,5836.25,5683.16,5721.92,4318427031
2018-09-29,5721.04,5721.04,5607.83,5685.61,3758009754
2018-09-30,5687.98,5724.51,5657.96,5708.81,3448504607
2018-10-01,5703.89,5739.14,5647.73,5691.26,3455517677
2018-10-02,5694.38,5713.15,5662.55,5675.0,3444471473
2018-10-03,5673.06,5691.36,5577.75,5666.68,3387596218
2018-10-04,5662.6,5733.0,5662.58,5711.33,3333351985
2018-10-05,5709.12,5745.99,5699.04,5745.0,3185026293
2018-10-06,5744.98,5750.26,5706.24,5715.36,2827824488
2018-10-07,5717.42,5765.04,5688.07,5730.56,2869754836
2018-10-08,5728.17,5807.11,5725.99,5788.33,3462659600
2018-10-09,5789.06,5793.4,5754.21,5772.57,3111788285
2018-10-10,5770.53,5771.0,5681.21,5710.79,3284543913
2018-10-11,5711.84,5712.0,5386.95,5397.45,4470356475
2018-10-12,5382.79,5454.76,5380.28,5425.63,3271592547
2018-10-13,5428.66,5454.97,5412.86,5435.5,2649466819
2018-10-14,5437.66,5511.65,5430.45,5445.27,2670572684
2018-10-15,5446.75,6023.19,5416.74,5694.5,6362854095
2018-10-16,5698.7,5764.97,5671.63,5699.35,3520818684
2018-10-17,5694.52,5711.25,5649.18,5691.62,3555653960
2018-10-18,5689.79,5712.39,5631.5,5654.04,3425647284
2018-10-19,5655.23,5668.03,5613.97,5608.36,3104454988
2018-10-20,5604.46,5636.38,5594.12,5628.98,2931192523
2018-10-21,5629.76,5686.12,5617.54,5632.02,2826811302
2018-10-22,5635.23,5703.26,5632.82,5653.9,3201088479
2018-10-23,5641.0,5670.6,5621.29,5644.22,3238974043
2018-10-24,5647.4,5688.42,5637.85,5700.39,3005302035
2018-10-25,5690.93,5718.76,5651.27,5692.96,2839805286
2018-10-26,5686.79,5711.97,5669.24,5673.82,2897091615
2018-10-27,5679.16,5702.44,5655.23,5678.76,2973504975
2018-10-28,5680.75,5702.13,5643.95,5690.89,3022665008
2018-10-29,5695.97,5707.16,5545.82,5566.76,3691968685
2018-10-30,5571.17,5594.54,5543.16,5583.56,3332979152
2018-10-31,5585.96,5597.98,5569.07,5583.19,3704012541
2018-11-01,5584.01,5769.18,5571.66,5592.87,3323042331
2018-11-02,5593.58,5617.72,5558.29,5610.33,3719062834
2018-11-03,5609.27,5620.54,5569.87,5586.46,3213017648
2018-11-04,5590.16,5604.49,5530.06,5593.52,3851188945
2018-11-05,5582.99,5690.46,5583.83,5626.59,3659057732
2018-11-06,5638.57,5660.23,5618.24,5651.39,4111087388
2018-11-07,5655.73,5710.08,5655.57,5710.91,4321359168
2018-11-08,5704.33,5718.56,5664.93,5676.86,4103683993
2018-11-09,5667.56,5682.31,5621.54,5632.3,3834021298
2018-11-10,5632.75,5678.32,5632.03,5653.57,3268462772
2018-11-11,5657.46,5665.95,5601.04,5661.9,3478646911
2018-11-12,5662.04,5679.34,5668.67,5675.69,3826779310
2018-11-13,5678.32,5671.41,5608.11,5621.9,3981440268
2018-11-14,5614.61,5651.37,4891.94,5072.28,6540122837
2018-11-15,5070.34,5103.98,4742.37,4987.67,6209949223
2018-11-16,4985.27,4993.84,4814.95,4882.04,4622651782
2018-11-17,4884.69,4884.69,4833.01,4864.48,3768698770
2018-11-18,4869.22,4950.39,4869.22,4927.9,3645119265
2018-11-19,4925.35,4925.35,4228.89,4253.28,6146211678
2018-11-20,4246.36,4325.12,3758.26,3914.93,7411762371
2018-11-21,3926.27,4108.71,3821.1,4041.6,5374658783
2018-11-22,4049.93,4064.77,3828.33,3828.6,4006990218
2018-11-23,3824.0,3863.34,3676.02,3833.61,4296045244
2018-11-24,3834.12,3891.79,3346.86,3422.35,4126734063
2018-11-25,3422.36,3633.76,3160.73,3537.53,6021470398
2018-11-26,3541.83,3617.83,3211.14,3334.84,5715449728
2018-11-27,3322.75,3420.37,3235.73,3381.92,5309779005
2018-11-28,3383.47,3858.09,3383.47,3744.88,6403821651
2018-11-29,3754.66,3886.45,3642.71,3756.5,5709438582
2018-11-30,3765.35,3794.58,3468.0,3549.3,5343483250
2018-12-01,3555.65,3807.38,3507.28,3722.88,4748090193
2018-12-02,3710.57,3799.59,3632.4,3650.52,4640620690
2018-12-03,3656.45,3664.17,3382.03,3429.27,4482008546
2018-12-04,3422.39,3579.51,3369.52,3488.17,4432454213
2018-12-05,3490.0,3501.04,3308.43,3308.43,4673119431
2018-12-06,3308.18,3417.48,3095.35,3095.35,5167560339
2018-12-07,3087.58,3087.58,2881.2,3004.02,6004302076
2018-12-08,3005.75,3079.66,2943.16,3053.37,4659853943
2018-12-09,3050.83,3237.71,3047.2,3168.85,4337708091
2018-12-10,3167.97,3196.64,3056.52,3084.09,4420967997
2018-12-11,3079.72,3091.15,2996.7,3024.59,4148173620
2018-12-12,3021.44,3109.47,3013.32,3065.85,3639470296
2018-12-13,3066.13,3068.71,2902.29,2916.66,3822988659
2018-12-14,2914.69,2930.05,2836.93,2867.3,3866795553
2018-12-15,2868.64,2896.39,2822.04,2862.24,3140792551
2018-12-16,2861.81,2922.9,2859.64,2876.58,3311144225
2018-12-17,2877.34,3170.84,2876.71,3124.27,4766099159
2018-12-18,3123.28,3253.79,3066.17,3249.05,5196397947
2018-12-19,3258.68,3463.32,3238.55,3289.63,5981038213
2018-12-20,3286.49,3665.84,3276.36,3608.39,7791277058
2018-12-21,3608.07,3666.06,3390.39,3426.89,6337467427
2018-12-22,3428.24,3530.07,3391.0,3530.07,4929760951
2018-12-23,3536.06,3589.17,3499.03,3516.36,5408908807
2018-12-24,3517.24,3750.7,3517.24,3576.95,6350365580
2018-12-25,3578.75,3586.55,3297.54,3342.62,5394996031
2018-12-26,3346.59,3411.19,3310.97,3395.23,4688475417
2018-12-27,3392.92,3407.93,3188.73,3197.25,4487918526
2018-12-28,3195.96,3459.71,3178.29,3429.7,4922254447
2018-12-29,3437.19,3464.52,3339.22,3339.22,4362951863
2018-12-30,3340.95,3411.22,3318.96,3379.54,4170344379
2018-12-31,3380.24,3366.61,3242.28,3256.93,4056771164
2019-01-01,3260.42,3358.3,3235.65,3353.51,3772904282
2019-01-02,3358.42,3481.46,3323.57,3483.45,4633091490
2019-01-03,3473.87,3471.46,3355.36,3368.36,3977171075
2019-01-04,3363.95,3392.45,3333.14,3385.3,4254278768
2019-01-05,3380.26,3426.7,3367.01,3374.29,4508432437
2019-01-06,3366.68,3590.93,3357.77,3572.6,4905016564
2019-01-07,3574.44,3586.81,3515.71,3506.49,4554786508
2019-01-08,3509.34,3591.64,3492.5,3518.61,4632231428
2019-01-09,3519.37,3549.94,3510.33,3492.61,4427887595
2019-01-10,3491.71,3515.61,3181.48,3197.26,5974139645
2019-01-11,3192.72,3239.57,3169.44,3215.77,4830339183
2019-01-12,3215.43,3225.9,3186.51,3192.2,4165967738
2019-01-13,3190.08,3203.93,3093.6,3100.22,4084792180
2019-01-14,3104.11,3249.57,3098.57,3230.38,4926029291
2019-01-15,3228.39,3241.08,3171.64,3180.92,4851261531
2019-01-16,3181.46,3237.27,3177.53,3206.83,4732988810
2019-01-17,3203.91,3230.76,3179.52,3228.89,4796438707
2019-01-18,3228.49,3232.41,3198.43,3217.8,4401105431
2019-01-19,3213.0,3306.38,3213.0,3280.02,5239221707
2019-01-20,3277.27,3293.06,3150.6,3168.37,4911786934
2019-01-21,3167.81,3172.1,3130.12,3145.28,4401553439
2019-01-22,3144.66,3185.6,3115.66,3172.1,4676089688
2019-01-23,3172.93,3190.16,3132.52,3148.85,4772516490
2019-01-24,3148.33,3199.29,3134.05,3183.18,4652392026
2019-01-25,3188.94,3194.64,3150.45,3157.0,4618153557
2019-01-26,3156.95,3205.38,3151.37,3158.25,4469541555
2019-01-27,3160.2,3167.2,3129.03,3140.37,4881255301
2019-01-28,3140.63,3142.06,3008.07,3036.36,6044747641
2019-01-29,3034.98,3042.31,2973.74,3015.45,5157195714
2019-01-30,3012.24,3059.73,2998.62,3035.27,5184854539
2019-01-31,3034.59,3061.37,3011.68,3020.3,5093417572
2019-02-01,3023.15,3056.47,2998.88,3044.25,4733081624
2019-02-02,3041.35,3075.09,3026.47,3073.15,4426467434
2019-02-03,3068.85,3073.44,3010.16,3023.36,4402303328
2019-02-04,3026.68,3036.47,3006.61,3024.73,4663004052
2019-02-05,3021.29,3045.83,3017.62,3038.16,4581790350
2019-02-06,3040.58,3041.7,2990.38,3003.62,4823543077
2019-02-07,3004.48,3023.77,2992.61,2998.16,4414116828
2019-02-08,2999.83,3262.94,2990.34,3237.06,6829062223
2019-02-09,3241.3,3248.68,3219.21,3240.96,5437061453
2019-02-10,3242.73,3263.16,3212.02,3258.58,5547484136
2019-02-11,3263.37,3263.95,3229.37,3234.71,5565257065
2019-02-12,3229.67,3237.48,3208.13,3223.96,5718440360
2019-02-13,3223.15,3237.43,3196.41,3224.07,5715596001
2019-02-14,3223.75,3237.3,3192.0,3202.04,5551786978
2019-02-15,3202.77,3236.49,3202.76,3205.25,5392778873
2019-02-16,3200.35,3233.6,3200.35,3213.2,5253613477
2019-02-17,3216.36,3258.12,3203.81,3252.19,6231587653
2019-02-18,3250.54,3480.39,3248.78,3461.66,8759299472
2019-02-19,3458.17,3550.25,3457.11,3480.86,8760246807
2019-02-20,3480.33,3527.26,3459.41,3525.3,7662026836
2019-02-21,3525.85,3538.56,3477.78,3486.7,6856030209
2019-02-22,3485.43,3533.87,3483.81,3532.99,6903230070
2019-02-23,3527.16,3674.79,3500.54,3653.83,7869699502
2019-02-24,3656.42,3713.91,3346.9,3359.56,9517000488
2019-02-25,3356.7,3446.44,3357.59,3416.38,8199608659
2019-02-26,3412.86,3424.98,3379.69,3382.94,6961175395
2019-02-27,3385.93,3414.52,3330.31,3384.33,7295249060
2019-02-28,3382.49,3434.39,3381.43,3389.31,7385479037
2019-03-01,3388.58,3437.39,3387.2,3394.99,6739025250
2019-03-02,3391.23,3408.2,3370.84,3398.93,6665890978
2019-03-03,3397.04,3409.65,3372.88,3381.98,6376472408
2019-03-04,3380.15,3401.71,3293.71,3317.82,7964031008
2019-03-05,3316.48,3454.65,3303.94,3445.99,8998078794
2019-03-06,3446.61,3468.38,3427.74,3450.86,8110434720
2019-03-07,3450.37,3484.55,3442.31,3493.0,8558774818
2019-03-08,3494.59,3514.06,3449.36,3472.42,9469505717
2019-03-09,3466.56,3549.04,3464.64,3527.75,9609611742
2019-03-10,3530.29,3530.29,3491.6,3518.22,8647984408
2019-03-11,3520.12,3531.01,3464.8,3468.38,8993208390
